#corpus	vsize	bsize	lrate	wordnet	human	human_dynamic
lch-thresh15-near50	100	20	0.005	0.8745672378452306	0.4302211828112079	0.48093513916192204
lch-thresh15-near50	100	50	0.005	0.8853907097323592	0.4328509673229459	0.4896061951384857
lch-thresh15-near50	100	100	0.005	0.8927786585551378	0.43943006976887333	0.4910813241251612
lch-thresh15-near50	200	20	0.005	0.9115078844518236	0.45556187110568924	0.5046616593494528
lch-thresh15-near50	200	50	0.005	0.9217017035909332	0.449093648871463	0.5086201720807059
lch-thresh15-near50	200	100	0.005	0.9249712500432249	0.46042599648717797	0.5173546257177882
lch-thresh15-near50	300	50	0.001	0.9275736492780409	0.44645047911343244	0.5157479518409274
lch-thresh15-near50	300	100	0.001	0.9319678041908555	0.4573893126750171	0.5180848501322052
lch-thresh15-near50	300	20	0.005	0.9294352045619257	0.4584791642081268	0.5215749280128994
lch-thresh15-near50	300	50	0.005	0.9335315368836514	0.45520290682992565	0.5120798002040717
lch-thresh15-near50	300	100	0.005	0.9341013174454866	0.45210989936379026	0.5144129380693563
lch-thresh15-near50	600	20	0.005	0.9371516197052064	0.4501728775156334	0.5188611939394547
lch-thresh15-near50	600	50	0.005	0.938156996573305	0.45355006249448365	0.518634243669415
lch-thresh15-near50	600	100	0.005	0.9396319362911136	0.454656670974773	0.520118144855664
