#corpus	vsize	bsize	lrate	wordnet	humans
jcn-semcor	16	10	0005	0.46049045001605804	0.16309183601905747
jcn-semcor	16	10	001	0.434334899134041	0.20702776026974337
jcn-semcor	16	10	002	0.47358188456198164	0.23716715137379274
jcn-semcor	16	10	004	0.5127231921863933	0.24033031465636684
jcn-semcor	16	20	0005	0.5180942975249347	0.2063668256366537
jcn-semcor	16	20	001	0.5539935734370064	0.22059763792865258
jcn-semcor	16	20	002	0.5143983569997432	0.23725245947025791
jcn-semcor	16	20	004	0.5239676313946816	0.18112907526388095
jcn-semcor	16	60	0005	0.5138818701909907	0.22505443755976642
jcn-semcor	16	60	001	0.5015900366001567	0.19380358351603355
jcn-semcor	16	60	002	0.5210217940718986	0.15595429039088013
jcn-semcor	16	60	004	0.5440617285114518	0.2744049276274516
jcn-semcor	32	10	0005	0.6444430490832919	0.3114775514686442
jcn-semcor	32	10	001	0.6832922651273554	0.283342392845238
jcn-semcor	32	10	002	0.6241420038327224	0.30260851553109386
jcn-semcor	32	10	004	0.5863302501231696	0.26387666952510513
jcn-semcor	32	20	0005	0.6330535288543215	0.3338122876301586
jcn-semcor	32	20	001	0.6246221949976338	0.31272398400380663
jcn-semcor	32	20	002	0.6377772840191023	0.3256116609398644
jcn-semcor	32	20	004	0.6194698181361641	0.27114177106894943
jcn-semcor	32	60	0005	0.7071964908553136	0.37046172237852926
jcn-semcor	32	60	001	0.6364285159581472	0.28659102671588954
jcn-semcor	32	60	002	0.6605917670615438	0.2782359111251872
jcn-semcor	32	60	004	0.6497995914802361	0.33206290293197943
jcn-semcor	64	10	0005	0.7669917056331793	0.3849678970190469
jcn-semcor	64	10	001	0.7295624677940594	0.36412680406938003
jcn-semcor	64	10	002	0.7145347104109964	0.3349115636989185
jcn-semcor	64	10	004	0.8262166705529094	0.4039484610077113
jcn-semcor	64	20	0005	0.7753794319088223	0.4259183222537732
jcn-semcor	64	20	001	0.7101011985313262	0.32941284753819183
jcn-semcor	64	20	002	0.7506128444314435	0.37285028814519955
jcn-semcor	64	20	004	0.7322095921711379	0.3649769804964617
jcn-semcor	64	60	0005	0.7765547242596212	0.35722716647308284
jcn-semcor	64	60	001	0.7297745139729646	0.3592213244737625
jcn-semcor	64	60	002	0.7758591559221899	0.37975679101211707
jcn-semcor	64	60	004	0.8055084519547815	0.41329526290836976
jcn-semcor	100	10	0005	0.8181926115984632	0.42443511912801696
jcn-semcor	100	10	001	0.8360210034180074	0.41252277778342605
jcn-semcor	100	10	002	0.7792489496988529	0.4306665912144764
jcn-semcor	100	10	004	0.7596077052262272	0.3742547640847894
jcn-semcor	100	20	0005	0.7904570932633002	0.43500552349230753
jcn-semcor	100	20	001	0.805636593654275	0.3888056239186935
jcn-semcor	100	20	002	0.8271466677214635	0.4012372275218873
jcn-semcor	100	20	004	0.8076329759311677	0.3775902090993201
jcn-semcor	100	60	0005	0.8485987946863133	0.42636635225182773
jcn-semcor	100	60	001	0.8231374106870969	0.39772807897379236
jcn-semcor	100	60	002	0.8027589401459158	0.4119824322381253
jcn-semcor	100	60	004	0.7965416202526117	0.4189009797958056
jcn-semcor	200	100	001	0.8640447542555502	0.46397722955881243
jcn-semcor	200	10	0005	0.8753441345475492	0.4402762232980537
jcn-semcor	200	10	001	0.9008785972969284	0.44925847526648427
jcn-semcor	200	10	002	0.8671524291217735	0.4590672205095016
jcn-semcor	200	10	004	0.9027076174556048	0.47081095649486454
jcn-semcor	200	20	0005	0.8727515450354478	0.436060195613487
jcn-semcor	200	20	001	0.8264866841450897	0.4246239750044296
jcn-semcor	200	20	002	0.8765527165235614	0.4352360787787304
jcn-semcor	200	20	004	0.8467687183589299	0.4049237965991783
jcn-semcor	200	60	0005	0.8698977162558104	0.41391754484918014
jcn-semcor	200	60	001	0.8850442113746856	0.44565989539726164
jcn-semcor	200	60	002	0.8836639207400084	0.43663243013770453
jcn-semcor	200	60	004	0.847272531143196	0.42116787996775534
jcn-semcor	300	10	0005	0.8951084023636259	0.4289549451932572
jcn-semcor	300	10	001	0.8917221833118181	0.4334646358441795
jcn-semcor	300	10	002	0.8814519175593557	0.44756852187550916
jcn-semcor	300	10	004	0.8970013410400238	0.44461338847960086
jcn-semcor	300	20	0005	0.8903444315442254	0.447511873237166
jcn-semcor	300	20	001	0.9124952344198181	0.44752635530211354
jcn-semcor	300	20	002	0.8809559244857099	0.4332895917548136
jcn-semcor	300	20	004	0.8923522285675302	0.43586122463420784
jcn-semcor	300	60	0005	0.8918386462227224	0.44519575841813647
jcn-semcor	300	60	001	0.8989441836878366	0.46193668020281703
jcn-semcor	300	60	002	0.8940594846608295	0.45221663506867193
jcn-semcor	300	60	004	0.889730350684741	0.42915647541543045
