#corpus	vsize	bsize	lrate	wordnet	human	human_dynamic
lch-thresh15-near100	300	50	0.001	0.9234655230176185	0.4415167463889323	0.5197812153670686
lch-thresh15-near100	300	100	0.001	0.9225304790465477	0.44453882626773294	0.5150329716775575
lch-thresh15-near100	300	20	0.005	0.917777562774179	0.4492191127050731	0.5203108397816892
lch-thresh15-near100	300	50	0.005	0.9306956791962342	0.4534182005537686	0.5269033697154903
lch-thresh15-near100	300	100	0.005	0.9284398371583211	0.4529518902587999	0.5250406442941358
