#corpus	vsize	bsize	lrate	wordnet	human	human_dynamic
jcn-semcor-thresh01	16	10	0.0005	0.46049045001605804	0.16309183601905747	0.14192732524644863
jcn-semcor-thresh01	16	10	0.001	0.434334899134041	0.20702776026974337	0.10015071294253085
jcn-semcor-thresh01	16	10	0.002	0.47358188456198164	0.23716715137379274	0.14781649901609972
jcn-semcor-thresh01	16	10	0.004	0.5127231921863933	0.24033031465636684	0.12524169832111517
jcn-semcor-thresh01	16	20	0.0005	0.5180942975249347	0.2063668256366537	0.1805914882118326
jcn-semcor-thresh01	16	20	0.001	0.5539935734370064	0.22059763792865258	0.1231773598478742
jcn-semcor-thresh01	16	20	0.002	0.5143983569997432	0.23725245947025791	0.1685832402676053
jcn-semcor-thresh01	16	20	0.004	0.5239676313946816	0.18112907526388095	0.16629866633417315
jcn-semcor-thresh01	16	60	0.0005	0.5138818701909907	0.22505443755976642	0.1982963183923082
jcn-semcor-thresh01	16	60	0.001	0.5015900366001567	0.19380358351603355	0.11691485903844935
jcn-semcor-thresh01	16	60	0.002	0.5210217940718986	0.15595429039088013	0.20661284158956045
jcn-semcor-thresh01	16	60	0.004	0.5440617285114518	0.2744049276274516	0.15781616607773363
jcn-semcor-thresh01	32	10	0.0005	0.6444430490832919	0.3114775514686442	0.22681501496582093
jcn-semcor-thresh01	32	10	0.001	0.6832922651273554	0.283342392845238	0.20749813199428765
jcn-semcor-thresh01	32	10	0.002	0.6241420038327224	0.30260851553109386	0.2059453714824957
jcn-semcor-thresh01	32	10	0.004	0.5863302501231696	0.26387666952510513	0.18608397062235393
jcn-semcor-thresh01	32	20	0.0005	0.6330535288543215	0.3338122876301586	0.24452147497650062
jcn-semcor-thresh01	32	20	0.001	0.6246221949976338	0.31272398400380663	0.18753154144140996
jcn-semcor-thresh01	32	20	0.002	0.6377772840191023	0.3256116609398644	0.18755757886244412
jcn-semcor-thresh01	32	20	0.004	0.6194698181361641	0.27114177106894943	0.20613176264544827
jcn-semcor-thresh01	32	60	0.0005	0.7071964908553136	0.37046172237852926	0.2031929559661909
jcn-semcor-thresh01	32	60	0.001	0.6364285159581472	0.28659102671588954	0.20569122756571928
jcn-semcor-thresh01	32	60	0.002	0.6605917670615438	0.2782359111251872	0.23950736328244157
jcn-semcor-thresh01	32	60	0.004	0.6497995914802361	0.33206290293197943	0.2269306852894451
jcn-semcor-thresh01	64	10	0.0005	0.7669917056331793	0.3849678970190469	0.31527455517846736
jcn-semcor-thresh01	64	10	0.001	0.7295624677940594	0.36412680406938003	0.30703050904741075
jcn-semcor-thresh01	64	10	0.002	0.7145347104109964	0.3349115636989185	0.27969484486833324
jcn-semcor-thresh01	64	10	0.004	0.8262166705529094	0.4039484610077113	0.3240971652226644
