#corpus	vsize	bsize	lrate	wordnet	human	human_dynamic
jcn-paths-semcor	100	10	0.001	0.3612116477089043	0.14373185411563835	0.26426488955853783
jcn-paths-semcor	100	200	0.002	0.449478327301478	0.1839236060124678	0.29218945401163954
jcn-paths-semcor	100	25	0.001	0.4373594413364464	0.21366962523455496	0.28815195148989314
jcn-paths-semcor	100	25	0.002	0.4545721477325088	0.16504719914729699	0.2648140648086813
jcn-paths-semcor	100	50	0.001	0.41253488644579217	0.16358656204420088	0.19730484958640407
jcn-paths-semcor	100	50	0.002	0.452709106754899	0.23431747503427666	0.3180595702549002
jcn-paths-semcor	300	100	0.005	0.7135042959715124	0.3093652823772634	0.4394448922542598
jcn-paths-semcor	300	500	0.005	0.7473091080934797	0.3414665768969479	0.46704480503153634
